Primo Carattere,Secondo Carattere,Frequenza
a,k,0.003000030000300003
k,v,4.000040000400004e-05
v,i,9.000090000900009e-05
i,m,0.01005010050100501
m,a,0.011640116401164012
a,j,0.007760077600776008
j,a,0.007990079900799007
a,e,0.014360143601436014
e,l,0.008070080700807008
l,e,0.008390083900839009
e,a,0.014340143401434014
e,g,0.001910019100191002
g,a,0.0018800188001880018
a,l,0.008620086200862008
l,a,0.007860078600786007
a,m,0.011930119301193013
m,m,0.00979009790097901
m,n,0.003030030300303003
n,i,0.0031900319003190032
i,p,0.006690066900669007
p,l,0.004800048000480004
l,h,0.0005300053000530005
h,d,0.00024000240002400024
d,u,0.00023000230002300024
u,c,0.0002000020000200002
c,j,0.0026200262002620024
j,p,0.004210042100421005
p,w,0.0002000020000200002
w,d,0.00018000180001800017
d,l,0.0027700277002770026
l,l,0.004530045300453004
l,m,0.006480064800648007
m,l,0.006560065600656006
l,i,0.0074100741007410076
i,k,0.002720027200272003
k,n,0.0008200082000820008
n,p,0.001870018700187002
p,j,0.003780037800378004
j,q,0.0033300333003330033
q,a,0.006340063400634006
a,q,0.006150061500615006
q,e,0.006050060500605006
a,c,0.005370053700537006
c,l,0.0033400334003340034
l,j,0.0048100481004810045
j,j,0.004440044400444004
j,b,0.0007100071000710007
b,d,0.00037000370003700036
d,i,0.003940039400394004
i,b,0.001030010300103001
d,c,0.0014500145001450015
c,e,0.005460054600546005
e,j,0.008870088700887008
j,l,0.004690046900469005
j,m,0.006470064700647007
m,r,0.006120061200612006
r,m,0.005270052700527005
m,j,0.006430064300643006
j,e,0.008360083600836008
e,e,0.014230142301423014
e,c,0.005260052600526005
c,i,0.004410044100441005
i,n,0.002800028000280003
n,f,0.0005200052000520005
f,d,0.0003800038000380004
d,s,0.001080010800108001
s,i,0.003080030800308003
i,d,0.0036100361003610034
d,e,0.004410044100441005
e,p,0.007730077300773007
p,m,0.006360063600636006
r,i,0.005920059200592006
i,i,0.01019010190101901
i,j,0.006800068000680007
j,g,0.0011400114001140012
g,n,0.0006100061000610006
i,a,0.012190121901219013
a,i,0.011620116201162012
i,l,0.006810068100681007
q,n,0.0013200132001320013
n,j,0.0019200192001920019
m,s,0.003010030100301003
s,e,0.0034600346003460037
j,t,0.0014300143001430014
t,c,0.0009600096000960009
p,e,0.007830078300783009
a,a,0.014240142401424015
e,m,0.011030110301103012
e,i,0.012140121401214012
j,i,0.006460064600646007
m,d,0.003820038200382004
g,s,0.0005300053000530005
s,a,0.0036700367003670038
e,t,0.0027300273002730025
t,i,0.002010020100201002
l,r,0.0034800348003480035
r,n,0.001820018200182002
n,e,0.003950039500395004
t,j,0.0015300153001530014
p,q,0.0032300323003230033
q,t,0.0010700107001070012
t,p,0.0014300143001430014
p,x,0.0002000020000200002
x,m,0.00025000250002500023
j,c,0.002820028200282003
c,h,0.00022000220002200022
h,l,0.0005300053000530005
l,d,0.002690026900269003
d,j,0.0026400264002640027
g,c,0.0007400074000740007
a,r,0.006960069600696007
l,u,0.0003200032000320003
u,e,0.0005700057000570006
m,i,0.00967009670096701
m,e,0.01121011210112101
e,r,0.006510065100651006
r,q,0.0028800288002880027
q,i,0.005060050600506005
i,r,0.005780057800578006
r,h,0.0002900029000290003
i,c,0.004390043900439004
m,b,0.0009000090000900009
b,t,0.00018000180001800017
c,u,0.0002000020000200002
e,h,0.0009400094000940009
h,a,0.0007800078000780008
n,a,0.003850038500385004
k,q,0.0013700137001370013
q,l,0.0034500345003450035
m,q,0.004980049800498005
q,s,0.0016500165001650017
s,q,0.0013200132001320013
q,j,0.003180031800318003
q,d,0.0018300183001830018
s,d,0.0011200112001120012
l,p,0.004550045500455005
l,n,0.002110021100211002
m,p,0.006280062800628006
b,i,0.0010700107001070012
i,q,0.005050050500505005
q,o,0.00026000260002600025
o,l,0.00036000360003600034
m,f,0.0010500105001050011
e,q,0.005570055700557006
q,f,0.0006800068000680007
f,m,0.0011900119001190012
q,q,0.0027300273002730025
q,k,0.001130011300113001
k,e,0.003120031200312003
p,a,0.007310073100731007
j,r,0.0038000380003800037
r,a,0.006710067100671006
a,f,0.0013600136001360014
f,a,0.0013800138001380015
e,k,0.003170031700317003
k,a,0.0032000320003200034
r,d,0.002060020600206002
d,m,0.0037600376003760036
p,n,0.0022700227002270023
n,r,0.0016600166001660016
t,n,0.0007400074000740007
n,d,0.0011400114001140012
c,m,0.004510045100451004
r,s,0.0017500175001750017
s,l,0.002030020300203002
l,t,0.0013700137001370013
t,e,0.0025700257002570026
e,n,0.0038000380003800037
m,c,0.004820048200482005
m,t,0.0022100221002210024
g,e,0.001970019700197002
p,p,0.003940039400394004
q,m,0.005320053200532005
p,r,0.0036900369003690036
r,j,0.003930039300393004
j,k,0.0015900159001590016
k,l,0.0015000150001500015
i,s,0.002900029000290003
s,j,0.002060020600206002
j,n,0.001980019800198002
j,z,0.0001000010000100001
z,p,7.000070000700007e-05
l,k,0.001990019900199002
k,i,0.002330023300233002
i,e,0.012230122301223013
a,o,0.0007000070000700007
o,t,6.000060000600006e-05
a,s,0.003680036800368004
t,f,0.00017000170001700018
a,t,0.0024800248002480024
t,m,0.0023400234002340023
c,q,0.0023400234002340023
b,q,0.0005400054000540005
d,p,0.002190021900219002
l,c,0.0032000320003200034
e,w,0.00048000480004800047
w,a,0.0003800038000380004
a,b,0.001030010300103001
b,r,0.0004900049000490004
r,f,0.0007400074000740007
f,i,0.0012400124001240012
m,ì,8.000080000800008e-05
ì,p,3.000030000300003e-05
e,d,0.004650046500465005
r,e,0.006480064800648007
o,i,0.0005400054000540005
m,g,0.0015500155001550015
g,r,0.0007900079000790008
r,t,0.0011900119001190012
t,s,0.0006400064000640006
s,f,0.00037000370003700036
k,c,0.001020010200102001
a,n,0.0037000370003700037
n,s,0.0009600096000960009
s,r,0.0016900169001690018
f,u,7.000070000700007e-05
u,n,0.0001900019000190002
d,n,0.0012100121001210012
n,q,0.0016800168001680016
c,c,0.001870018700187002
j,d,0.0024800248002480024
d,g,0.0007800078000780008
s,m,0.003000030000300003
e,f,0.0012900129001290014
a,g,0.0018100181001810018
c,k,0.0010500105001050011
a,p,0.007780077800778008
d,v,6.000060000600006e-05
v,g,2.000020000200002e-05
g,i,0.0017600176001760018
i,h,0.0006500065000650006
h,i,0.0007700077000770008
i,f,0.001080010800108001
r,r,0.003290032900329003
r,c,0.002330023300233002
k,p,0.0015400154001540016
p,d,0.0025300253002530026
d,t,0.0007600076000760008
a,y,0.00015000150001500014
y,i,0.00012000120001200012
p,c,0.002920029200292003
b,n,0.0002100021000210002
n,h,0.0002000020000200002
c,a,0.005500055000550006
a,d,0.004330043300433004
i,t,0.0021000210002100022
h,q,0.0003100031000310003
q,r,0.002920029200292003
e,s,0.0036700367003670038
p,h,0.0004200042000420004
h,e,0.0007100071000710007
p,i,0.006330063300633007
q,p,0.003140031400314003
c,s,0.0014200142001420013
c,p,0.0029500295002950028
c,b,0.00036000360003600034
b,e,0.001020010200102001
n,l,0.001970019700197002
r,l,0.003950039500395004
i,g,0.0016500165001650017
c,g,0.0007300073000730007
g,d,0.0007500075000750007
p,k,0.0014600146001460014
k,j,0.0016500165001650017
r,k,0.0015800158001580016
i,z,6.000060000600006e-05
z,g,1.000010000100001e-05
a,x,0.00026000260002600025
x,r,0.00011000110001100011
r,g,0.0008600086000860009
e,o,0.0006100061000610006
o,q,0.0002900029000290003
q,h,0.0003000030000300003
f,j,0.0006900069000690007
e,b,0.001110011100111001
a,u,0.0006200062000620006
u,i,0.0005900059000590006
n,v,6.000060000600006e-05
v,l,7.000070000700007e-05
l,g,0.0012500125001250013
k,r,0.0015200152001520015
d,q,0.001930019300193002
j,u,0.00037000370003700036
c,t,0.001000010000100001
l,o,0.0003900039000390004
o,m,0.0005400054000540005
r,b,0.0005200052000520005
b,p,0.0005900059000590006
a,w,0.0003900039000390004
w,j,0.00017000170001700018
b,m,0.0008900089000890009
p,s,0.0018000180001800019
p,f,0.0008500085000850008
t,q,0.0011000110001100011
j,o,0.0003200032000320003
o,n,0.00018000180001800017
l,s,0.002000020000200002
s,n,0.000920009200092001
l,z,8.000080000800008e-05
z,r,5.000050000500005e-05
t,k,0.0005100051000510005
t,l,0.0014000140001400015
a,h,0.0007100071000710007
h,t,0.00014000140001400014
n,t,0.0005300053000530005
t,a,0.0025000250002500026
u,f,6.000060000600006e-05
f,c,0.00045000450004500047
t,r,0.0010700107001070012
c,n,0.0012600126001260012
j,w,0.0002000020000200002
w,e,0.00037000370003700036
f,r,0.0006900069000690007
k,b,0.00024000240002400024
r,p,0.0036600366003660036
f,n,0.0003100031000310003
n,m,0.003080030800308003
f,e,0.0012900129001290014
k,d,0.0008700087000870009
l,q,0.0036000360003600037
a,ì,6.000060000600006e-05
ì,j,3.000030000300003e-05
o,r,0.0002900029000290003
d,a,0.004460044600446004
h,k,0.00017000170001700018
k,m,0.0024400244002440023
c,r,0.0025000250002500026
m,k,0.0021700217002170023
i,u,0.0005500055000550006
j,y,9.000090000900009e-05
s,p,0.0021400214002140023
p,g,0.0009600096000960009
g,j,0.001030010300103001
t,d,0.0007200072000720007
p,b,0.0006300063000630006
k,é,3.000030000300003e-05
é,p,4.000040000400004e-05
d,d,0.0017400174001740017
g,p,0.001200012000120001
u,j,0.0003800038000380004
t,z,4.000040000400004e-05
z,j,9.000090000900009e-05
n,c,0.0013600136001360014
d,r,0.001980019800198002
s,g,0.0006600066000660007
n,n,0.0009000090000900009
g,l,0.001090010900109001
n,b,0.0003000030000300003
d,b,0.0003500035000350004
f,q,0.0006000060000600005
q,u,0.0002000020000200002
u,a,0.0005900059000590006
j,s,0.0022000220002200022
x,d,0.00011000110001100011
j,f,0.0007100071000710007
s,c,0.0015500155001550015
q,c,0.0022500225002250024
g,q,0.0007800078000780008
p,t,0.0015900159001590016
b,l,0.0006600066000660007
g,m,0.0015000150001500015
c,o,0.00024000240002400024
o,d,0.00018000180001800017
f,b,0.00013000130001300012
i,o,0.0005300053000530005
d,k,0.0007800078000780008
h,p,0.00044000440004400045
d,ì,3.000030000300003e-05
ì,f,2.000020000200002e-05
f,l,0.0008200082000820008
l,f,0.0006400064000640006
d,h,0.0002100021000210002
b,u,5.000050000500005e-05
u,p,0.00034000340003400035
m,h,0.0006900069000690007
t,g,0.00045000450004500047
u,t,9.000090000900009e-05
m,o,0.0005400054000540005
o,p,0.00025000250002500023
l,b,0.0006500065000650006
m,u,0.0005800058000580006
r,o,0.00025000250002500023
h,n,0.0002100021000210002
q,b,0.00048000480004800047
b,s,0.0003500035000350004
p,y,7.000070000700007e-05
y,d,0.00011000110001100011
k,s,0.0006200062000620006
s,t,0.0006100061000610006
b,f,0.0001000010000100001
t,h,0.00012000120001200012
ì,e,6.000060000600006e-05
b,a,0.0012300123001230013
u,l,0.00034000340003400035
q,w,0.00014000140001400014
w,i,0.00036000360003600034
i,x,0.0001900019000190002
x,a,0.0002800028000280003
s,b,0.00024000240002400024
a,z,0.00012000120001200012
i,w,0.0003100031000310003
f,o,9.000090000900009e-05
o,j,0.0004100041000410004
h,r,0.0004200042000420004
c,d,0.0015700157001570015
f,t,0.00022000220002200022
l,w,0.00022000220002200022
o,e,0.0006300063000630006
c,x,5.000050000500005e-05
d,f,0.0004200042000420004
l,é,3.000030000300003e-05
é,m,4.000040000400004e-05
r,w,0.00026000260002600025
r,v,4.000040000400004e-05
v,j,0.00012000120001200012
m,x,0.00023000230002300024
x,i,0.00014000140001400014
x,j,0.00014000140001400014
e,u,0.0006000060000600005
l,x,0.0002100021000210002
x,e,0.00026000260002600025
m,w,0.00033000330003300033
s,h,0.00017000170001700018
h,j,0.0003500035000350004
u,m,0.00048000480004800047
k,t,0.0005500055000550006
s,s,0.0008400084000840008
s,k,0.0007300073000730007
p,o,0.00027000270002700027
w,m,0.00027000270002700027
o,a,0.0006800068000680007
l,v,8.000080000800008e-05
v,o,3.000030000300003e-05
o,f,8.000080000800008e-05
c,z,7.000070000700007e-05
z,a,9.000090000900009e-05
s,o,0.00015000150001500014
k,k,0.0005600056000560006
q,g,0.000920009200092001
n,g,0.0004300043000430004
h,s,0.00017000170001700018
g,h,0.00012000120001200012
k,f,0.0003000030000300003
p,ì,4.000040000400004e-05
ì,i,5.000050000500005e-05
s,u,0.0001000010000100001
g,g,0.00027000270002700027
g,t,0.0003000030000300003
n,k,0.0005800058000580006
b,j,0.0006000060000600005
w,p,0.0002000020000200002
b,b,9.000090000900009e-05
g,ò,1.000010000100001e-05
ò,a,7.000070000700007e-05
t,t,0.00044000440004400045
f,p,0.0005200052000520005
e,v,0.00014000140001400014
v,n,6.000060000600006e-05
b,c,0.00045000450004500047
t,o,0.00011000110001100011
w,l,0.0003000030000300003
a,é,6.000060000600006e-05
é,l,4.000040000400004e-05
m,ù,4.000040000400004e-05
ù,s,3.000030000300003e-05
t,b,0.00018000180001800017
i,è,5.000050000500005e-05
è,u,1.000010000100001e-05
w,q,0.0001900019000190002
w,c,0.00017000170001700018
a,v,9.000090000900009e-05
o,g,0.00014000140001400014
e,x,0.00018000180001800017
x,n,0.00011000110001100011
i,à,4.000040000400004e-05
à,r,4.000040000400004e-05
n,o,0.0001900019000190002
o,s,0.00013000130001300012
f,ù,2.000020000200002e-05
o,c,0.0001900019000190002
f,g,0.0002100021000210002
u,q,0.00027000270002700027
q,ò,7.000070000700007e-05
ò,m,6.000060000600006e-05
w,s,9.000090000900009e-05
v,p,6.000060000600006e-05
d,o,0.0001900019000190002
c,f,0.0003900039000390004
h,m,0.0006200062000620006
c,w,0.00022000220002200022
m,è,7.000070000700007e-05
è,r,3.000030000300003e-05
k,g,0.00034000340003400035
g,k,0.0004300043000430004
p,é,6.000060000600006e-05
é,i,3.000030000300003e-05
p,u,0.00026000260002600025
d,ù,4.000040000400004e-05
ù,m,4.000040000400004e-05
j,ì,1.000010000100001e-05
ì,r,1.000010000100001e-05
j,h,0.00044000440004400045
h,c,0.0002800028000280003
e,é,4.000040000400004e-05
é,a,6.000060000600006e-05
g,w,4.000040000400004e-05
à,g,2.000020000200002e-05
l,à,5.000050000500005e-05
b,o,1.000010000100001e-05
o,u,3.000030000300003e-05
u,r,0.0002900029000290003
t,x,3.000030000300003e-05
e,y,0.00014000140001400014
y,c,0.0001000010000100001
p,z,4.000040000400004e-05
z,l,8.000080000800008e-05
c,à,4.000040000400004e-05
à,j,3.000030000300003e-05
ì,l,5.000050000500005e-05
à,c,8.000080000800008e-05
j,x,0.00014000140001400014
g,x,4.000040000400004e-05
l,è,8.000080000800008e-05
è,i,7.000070000700007e-05
r,y,7.000070000700007e-05
f,h,0.00011000110001100011
i,v,0.00012000120001200012
b,h,5.000050000500005e-05
g,b,0.00016000160001600016
b,g,0.00012000120001200012
a,ù,6.000060000600006e-05
ù,i,4.000040000400004e-05
x,f,4.000040000400004e-05
c,ò,3.000030000300003e-05
ò,l,4.000040000400004e-05
u,u,4.000040000400004e-05
b,k,0.00018000180001800017
y,t,3.000030000300003e-05
e,ò,7.000070000700007e-05
ò,q,2.000020000200002e-05
d,y,0.00011000110001100011
y,j,8.000080000800008e-05
n,x,8.000080000800008e-05
e,ì,0.00013000130001300012
f,k,0.00033000330003300033
k,h,0.00012000120001200012
u,h,5.000050000500005e-05
x,s,5.000050000500005e-05
z,e,0.0001000010000100001
w,h,4.000040000400004e-05
i,é,4.000040000400004e-05
é,f,1.000010000100001e-05
p,ò,5.000050000500005e-05
k,o,0.00013000130001300012
d,w,0.00011000110001100011
p,è,4.000040000400004e-05
è,d,2.000020000200002e-05
j,ù,3.000030000300003e-05
ù,l,6.000060000600006e-05
k,u,0.00014000140001400014
a,è,9.000090000900009e-05
è,a,8.000080000800008e-05
w,b,7.000070000700007e-05
t,w,0.0001000010000100001
w,n,8.000080000800008e-05
a,à,7.000070000700007e-05
n,u,0.00017000170001700018
z,n,5.000050000500005e-05
j,é,4.000040000400004e-05
é,r,5.000050000500005e-05
m,z,0.00011000110001100011
u,o,3.000030000300003e-05
y,m,0.00012000120001200012
m,ò,3.000030000300003e-05
a,ò,4.000040000400004e-05
ò,k,4.000040000400004e-05
t,è,1.000010000100001e-05
k,x,5.000050000500005e-05
j,v,4.000040000400004e-05
g,u,0.00011000110001100011
u,d,0.0002100021000210002
v,m,0.00016000160001600016
v,d,3.000030000300003e-05
m,y,8.000080000800008e-05
y,l,4.000040000400004e-05
c,v,4.000040000400004e-05
v,c,5.000050000500005e-05
w,r,0.00014000140001400014
j,ò,2.000020000200002e-05
v,q,4.000040000400004e-05
f,s,0.00034000340003400035
r,è,6.000060000600006e-05
è,p,3.000030000300003e-05
s,y,4.000040000400004e-05
r,x,0.00013000130001300012
x,y,1.000010000100001e-05
y,a,8.000080000800008e-05
u,g,3.000030000300003e-05
u,ò,1.000010000100001e-05
ò,i,2.000020000200002e-05
y,e,0.00016000160001600016
v,r,6.000060000600006e-05
m,v,0.00012000120001200012
v,s,3.000030000300003e-05
h,x,4.000040000400004e-05
w,t,0.0001000010000100001
f,f,0.00013000130001300012
g,f,0.0002000020000200002
v,w,1.000010000100001e-05
à,m,7.000070000700007e-05
n,ù,2.000020000200002e-05
ù,a,5.000050000500005e-05
y,p,5.000050000500005e-05
r,u,0.0003200032000320003
l,ì,4.000040000400004e-05
ì,b,2.000020000200002e-05
x,p,0.00015000150001500014
m,à,3.000030000300003e-05
à,k,1.000010000100001e-05
n,y,2.000020000200002e-05
è,g,1.000010000100001e-05
v,a,8.000080000800008e-05
h,w,5.000050000500005e-05
ì,m,5.000050000500005e-05
t,u,8.000080000800008e-05
g,o,9.000090000900009e-05
v,e,0.00011000110001100011
d,z,4.000040000400004e-05
d,ò,2.000020000200002e-05
ò,s,2.000020000200002e-05
t,y,2.000020000200002e-05
d,x,6.000060000600006e-05
h,g,8.000080000800008e-05
w,k,8.000080000800008e-05
y,g,1.000010000100001e-05
u,b,3.000030000300003e-05
q,è,1.000010000100001e-05
è,e,5.000050000500005e-05
t,v,4.000040000400004e-05
h,f,3.000030000300003e-05
i,y,0.00012000120001200012
ì,c,4.000040000400004e-05
q,y,4.000040000400004e-05
r,à,4.000040000400004e-05
à,h,1.000010000100001e-05
o,o,2.000020000200002e-05
c,ù,2.000020000200002e-05
u,k,9.000090000900009e-05
u,s,0.00014000140001400014
w,f,1.000010000100001e-05
ò,p,4.000040000400004e-05
o,k,0.00012000120001200012
q,à,1.000010000100001e-05
q,v,3.000030000300003e-05
r,ù,5.000050000500005e-05
ù,t,1.000010000100001e-05
q,ù,1.000010000100001e-05
ù,k,3.000030000300003e-05
l,y,3.000030000300003e-05
è,q,8.000080000800008e-05
ù,j,3.000030000300003e-05
s,è,2.000020000200002e-05
è,h,1.000010000100001e-05
ù,q,5.000050000500005e-05
w,w,2.000020000200002e-05
o,x,1.000010000100001e-05
x,k,7.000070000700007e-05
x,c,6.000060000600006e-05
k,ì,1.000010000100001e-05
x,q,0.00011000110001100011
b,ù,1.000010000100001e-05
s,w,5.000050000500005e-05
n,ò,2.000020000200002e-05
ò,e,8.000080000800008e-05
c,y,3.000030000300003e-05
y,o,2.000020000200002e-05
b,x,2.000020000200002e-05
y,r,7.000070000700007e-05
c,ì,2.000020000200002e-05
ì,q,2.000020000200002e-05
b,y,2.000020000200002e-05
y,k,1.000010000100001e-05
h,b,1.000010000100001e-05
z,i,9.000090000900009e-05
z,o,1.000010000100001e-05
g,ì,2.000020000200002e-05
e,è,4.000040000400004e-05
è,m,4.000040000400004e-05
b,w,1.000010000100001e-05
r,ì,4.000040000400004e-05
z,q,9.000090000900009e-05
o,b,5.000050000500005e-05
ò,n,4.000040000400004e-05
è,j,4.000040000400004e-05
o,y,1.000010000100001e-05
g,v,1.000010000100001e-05
y,q,4.000040000400004e-05
x,w,1.000010000100001e-05
u,w,2.000020000200002e-05
z,m,7.000070000700007e-05
k,w,7.000070000700007e-05
f,x,2.000020000200002e-05
x,t,5.000050000500005e-05
s,x,7.000070000700007e-05
l,ò,3.000030000300003e-05
ù,e,7.000070000700007e-05
o,h,5.000050000500005e-05
w,g,7.000070000700007e-05
u,à,1.000010000100001e-05
à,d,2.000020000200002e-05
e,à,5.000050000500005e-05
é,e,2.000020000200002e-05
ì,t,2.000020000200002e-05
w,é,1.000010000100001e-05
é,g,1.000010000100001e-05
i,ò,4.000040000400004e-05
ò,j,3.000030000300003e-05
x,é,1.000010000100001e-05
x,g,2.000020000200002e-05
p,ù,5.000050000500005e-05
ì,g,1.000010000100001e-05
x,o,1.000010000100001e-05
r,é,2.000020000200002e-05
q,x,9.000090000900009e-05
e,ù,7.000070000700007e-05
p,à,4.000040000400004e-05
à,l,3.000030000300003e-05
n,è,2.000020000200002e-05
v,f,1.000010000100001e-05
y,s,3.000030000300003e-05
z,t,1.000010000100001e-05
p,v,0.00013000130001300012
q,z,2.000020000200002e-05
n,w,7.000070000700007e-05
z,k,1.000010000100001e-05
g,à,3.000030000300003e-05
à,i,4.000040000400004e-05
d,è,1.000010000100001e-05
à,e,5.000050000500005e-05
s,ù,1.000010000100001e-05
x,l,0.0001000010000100001
f,z,1.000010000100001e-05
v,k,2.000020000200002e-05
s,v,1.000010000100001e-05
è,l,1.000010000100001e-05
ù,f,1.000010000100001e-05
h,y,1.000010000100001e-05
s,ò,1.000010000100001e-05
ò,r,2.000020000200002e-05
ù,p,1.000010000100001e-05
ì,k,3.000030000300003e-05
t,ù,1.000010000100001e-05
n,z,1.000010000100001e-05
f,à,1.000010000100001e-05
è,b,2.000020000200002e-05
u,ù,1.000010000100001e-05
ù,r,4.000040000400004e-05
é,t,2.000020000200002e-05
e,z,6.000060000600006e-05
à,p,3.000030000300003e-05
b,è,1.000010000100001e-05
è,c,4.000040000400004e-05
v,b,2.000020000200002e-05
b,v,2.000020000200002e-05
f,w,1.000010000100001e-05
c,è,3.000030000300003e-05
è,f,2.000020000200002e-05
ì,s,1.000010000100001e-05
ù,c,2.000020000200002e-05
é,n,2.000020000200002e-05
ì,d,1.000010000100001e-05
h,o,5.000050000500005e-05
b,à,1.000010000100001e-05
à,a,3.000030000300003e-05
k,ò,1.000010000100001e-05
è,t,1.000010000100001e-05
h,à,1.000010000100001e-05
y,b,1.000010000100001e-05
h,è,1.000010000100001e-05
ì,a,5.000050000500005e-05
k,à,2.000020000200002e-05
f,y,1.000010000100001e-05
r,ò,3.000030000300003e-05
z,c,4.000040000400004e-05
c,é,1.000010000100001e-05
é,k,1.000010000100001e-05
z,b,1.000010000100001e-05
h,z,2.000020000200002e-05
é,c,1.000010000100001e-05
l,ù,1.000010000100001e-05
k,y,2.000020000200002e-05
t,ì,2.000020000200002e-05
à,s,1.000010000100001e-05
ò,c,1.000010000100001e-05
f,è,1.000010000100001e-05
q,ì,1.000010000100001e-05
x,ò,1.000010000100001e-05
v,t,1.000010000100001e-05
m,é,4.000040000400004e-05
s,z,4.000040000400004e-05
é,h,1.000010000100001e-05
k,z,1.000010000100001e-05
à,t,2.000020000200002e-05
w,z,1.000010000100001e-05
h,h,1.000010000100001e-05
z,x,1.000010000100001e-05
s,à,1.000010000100001e-05
é,q,2.000020000200002e-05
x,z,1.000010000100001e-05
b,z,1.000010000100001e-05
j,è,1.000010000100001e-05
é,s,1.000010000100001e-05
g,z,1.000010000100001e-05
w,v,1.000010000100001e-05
f,é,1.000010000100001e-05
é,u,1.000010000100001e-05
k,ù,1.000010000100001e-05
d,é,2.000020000200002e-05
q,é,1.000010000100001e-05
z,s,1.000010000100001e-05
j,à,2.000020000200002e-05
r,z,2.000020000200002e-05
i,ù,1.000010000100001e-05
ù,d,1.000010000100001e-05
y,ù,1.000010000100001e-05
ò,t,1.000010000100001e-05
é,d,1.000010000100001e-05
d,à,1.000010000100001e-05
à,q,1.000010000100001e-05
h,ù,1.000010000100001e-05
é,b,1.000010000100001e-05
